2014-09-30 09:12:36 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INSERT INTO `categories` (`id`, `name`, `parent_id`, `lft`, `rght`) VALUES(2, 'F' at line 2</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:15:19 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'mysqli_query' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:15:57 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'mysqli_query' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:16:15 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'mysqli_query' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:24:06 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'generatetreelist' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:25:07 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'generatetreelist' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:25:32 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'generatetreelist' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:25:34 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'generatetreelist' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:25:38 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'generatetreelist' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2014-09-30 09:29:41 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'generatetreelist' at line 1</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 685]
2016-07-22 09:40:02 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'parent_id' in where clause is ambiguous</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 684]
2016-07-22 09:41:06 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'parent_id' in where clause is ambiguous</span> in [C:\cake\libs\model\datasources\dbo_source.php, line 684]
2016-07-22 09:41:06 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\cake\libs\model\model.php, line 2360]
2016-07-22 16:21:02 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:23:15 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:24:04 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:38:57 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:43:57 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:44:16 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:45:33 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:50:48 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:52:02 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:53:47 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:54:07 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:56:55 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:57:12 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:57:16 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:57:18 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:57:22 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:57:37 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 16:57:51 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 17:00:27 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 17:00:44 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 17:00:54 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 17:02:44 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 946]
2016-07-22 17:07:02 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 949]
2016-07-22 17:07:18 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 949]
2016-07-22 17:07:29 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 949]
2016-07-22 17:07:35 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 949]
2016-07-22 17:07:36 Warning: Warning (2): preg_match() expects parameter 2 to be string, array given in [C:\cake\libs\validation.php, line 949]
